C:\Users\koosh\Dino\src\Tests\DINOForge.Tests.csproj		
C:\Users\koosh\Dino\src\Tests\Analyzers\DINOForge.Tests.Analyzers.csproj	Microsoft.NET.Test.Sdk	17.*
C:\Users\koosh\Dino\src\Tests\Analyzers\DINOForge.Tests.Analyzers.csproj	xunit	2.3.0
C:\Users\koosh\Dino\src\Tests\Analyzers\DINOForge.Tests.Analyzers.csproj	xunit.runner.visualstudio	2.8.2
C:\Users\koosh\Dino\src\Tests\Analyzers\DINOForge.Tests.Analyzers.csproj	FluentAssertions	6.*
C:\Users\koosh\Dino\src\Tests\Analyzers\DINOForge.Tests.Analyzers.csproj	Microsoft.CodeAnalysis.Analyzers	3.*
C:\Users\koosh\Dino\src\Tests\Analyzers\DINOForge.Tests.Analyzers.csproj	Microsoft.CodeAnalysis	4.10.0
C:\Users\koosh\Dino\src\Tests\Analyzers\DINOForge.Tests.Analyzers.csproj	Microsoft.CodeAnalysis.CSharp	4.10.0
C:\Users\koosh\Dino\src\Tests\Analyzers\DINOForge.Tests.Analyzers.csproj	Microsoft.CodeAnalysis.CSharp.Analyzer.Testing.xunit	1.1.2
C:\Users\koosh\Dino\src\Tests\Analyzers\DINOForge.Tests.Analyzers.csproj		
C:\Users\koosh\Dino\src\Tests\Autograder\DINOForge.Tests.Autograder.csproj	Microsoft.NET.Test.Sdk	17.*
C:\Users\koosh\Dino\src\Tests\Autograder\DINOForge.Tests.Autograder.csproj	xunit	2.*
C:\Users\koosh\Dino\src\Tests\Autograder\DINOForge.Tests.Autograder.csproj	xunit.runner.visualstudio	2.*
C:\Users\koosh\Dino\src\Tests\Autograder\DINOForge.Tests.Autograder.csproj	FluentAssertions	6.*
C:\Users\koosh\Dino\src\Tests\BDD\DINOForge.Tests.BDD.csproj	Microsoft.NET.Test.Sdk	17.14.1
C:\Users\koosh\Dino\src\Tests\BDD\DINOForge.Tests.BDD.csproj	Reqnroll	3.3.4
C:\Users\koosh\Dino\src\Tests\BDD\DINOForge.Tests.BDD.csproj	Reqnroll.xUnit	3.3.4
C:\Users\koosh\Dino\src\Tests\BDD\DINOForge.Tests.BDD.csproj	xunit	2.8.1
C:\Users\koosh\Dino\src\Tests\BDD\DINOForge.Tests.BDD.csproj	xunit.runner.visualstudio	2.8.1
C:\Users\koosh\Dino\src\Tests\BDD\DINOForge.Tests.BDD.csproj	FluentAssertions	6.12.2
C:\Users\koosh\Dino\src\Tests\BDD\DINOForge.Tests.BDD.csproj		
C:\Users\koosh\Dino\src\Tests\Benchmarks\DINOForge.Benchmarks.csproj	BenchmarkDotNet	0.13.*
C:\Users\koosh\Dino\src\Tests\Benchmarks\DINOForge.Benchmarks.csproj	BenchmarkDotNet.Diagnostics.Windows	0.13.*
C:\Users\koosh\Dino\src\Tests\Benchmarks\DINOForge.Benchmarks.csproj		
C:\Users\koosh\Dino\src\Tests\BridgeMutation\DINOForge.Tests.BridgeMutation.csproj	Microsoft.NET.Test.Sdk	17.*
C:\Users\koosh\Dino\src\Tests\BridgeMutation\DINOForge.Tests.BridgeMutation.csproj	xunit	2.*
C:\Users\koosh\Dino\src\Tests\BridgeMutation\DINOForge.Tests.BridgeMutation.csproj	xunit.runner.visualstudio	2.*
C:\Users\koosh\Dino\src\Tests\BridgeMutation\DINOForge.Tests.BridgeMutation.csproj	FluentAssertions	6.*
C:\Users\koosh\Dino\src\Tests\BridgeMutation\DINOForge.Tests.BridgeMutation.csproj	Newtonsoft.Json	13.*
C:\Users\koosh\Dino\src\Tests\BridgeMutation\DINOForge.Tests.BridgeMutation.csproj		
C:\Users\koosh\Dino\src\Tests\BridgeSmoke\DINOForge.Tests.BridgeSmoke.csproj	Microsoft.NET.Test.Sdk	17.*
C:\Users\koosh\Dino\src\Tests\BridgeSmoke\DINOForge.Tests.BridgeSmoke.csproj	MSTest.TestAdapter	3.*
C:\Users\koosh\Dino\src\Tests\BridgeSmoke\DINOForge.Tests.BridgeSmoke.csproj	MSTest.TestFramework	3.*
C:\Users\koosh\Dino\src\Tests\BridgeSmoke\DINOForge.Tests.BridgeSmoke.csproj	FluentAssertions	6.*
C:\Users\koosh\Dino\src\Tests\BridgeSmoke\DINOForge.Tests.BridgeSmoke.csproj	Newtonsoft.Json	13.*
C:\Users\koosh\Dino\src\Tests\BridgeSmoke\DINOForge.Tests.BridgeSmoke.csproj		
C:\Users\koosh\Dino\src\Tests\Chaos\DINOForge.Tests.Chaos.csproj	Microsoft.NET.Test.Sdk	17.*
C:\Users\koosh\Dino\src\Tests\Chaos\DINOForge.Tests.Chaos.csproj	xunit	2.*
C:\Users\koosh\Dino\src\Tests\Chaos\DINOForge.Tests.Chaos.csproj	xunit.runner.visualstudio	2.*
C:\Users\koosh\Dino\src\Tests\Chaos\DINOForge.Tests.Chaos.csproj	FluentAssertions	6.*
C:\Users\koosh\Dino\src\Tests\Chaos\DINOForge.Tests.Chaos.csproj	Newtonsoft.Json	13.*
C:\Users\koosh\Dino\src\Tests\Chaos\DINOForge.Tests.Chaos.csproj		
C:\Users\koosh\Dino\src\Tests\Chaos\DINOForge.Tests.Chaos.csproj		
C:\Users\koosh\Dino\src\Tests\CliToolTests\DINOForge.Tests.CliTools.csproj	Microsoft.NET.Test.Sdk	17.*
C:\Users\koosh\Dino\src\Tests\CliToolTests\DINOForge.Tests.CliTools.csproj	xunit	2.*
C:\Users\koosh\Dino\src\Tests\CliToolTests\DINOForge.Tests.CliTools.csproj	xunit.runner.visualstudio	2.*
C:\Users\koosh\Dino\src\Tests\CliToolTests\DINOForge.Tests.CliTools.csproj	FluentAssertions	6.*
C:\Users\koosh\Dino\src\Tests\CliToolTests\DINOForge.Tests.CliTools.csproj	Moq	4.*
C:\Users\koosh\Dino\src\Tests\CliToolTests\DINOForge.Tests.CliTools.csproj		
C:\Users\koosh\Dino\src\Tests\CompanionTests\CompanionTests.csproj	Microsoft.NET.Test.Sdk	17.11.1
C:\Users\koosh\Dino\src\Tests\CompanionTests\CompanionTests.csproj	xunit	2.9.3
C:\Users\koosh\Dino\src\Tests\CompanionTests\CompanionTests.csproj	xunit.runner.visualstudio	2.8.2
C:\Users\koosh\Dino\src\Tests\CompanionTests\CompanionTests.csproj	FluentAssertions	6.12.1
C:\Users\koosh\Dino\src\Tests\CompanionTests\CompanionTests.csproj	Moq	4.20.72
C:\Users\koosh\Dino\src\Tests\CompanionTests\CompanionTests.csproj	YamlDotNet	15.3.0
C:\Users\koosh\Dino\src\Tests\CompanionTests\CompanionTests.csproj	Newtonsoft.Json	13.0.3
C:\Users\koosh\Dino\src\Tests\Contract\DINOForge.Tests.Contract.csproj	Microsoft.NET.Test.Sdk	17.*
C:\Users\koosh\Dino\src\Tests\Contract\DINOForge.Tests.Contract.csproj	xunit	2.*
C:\Users\koosh\Dino\src\Tests\Contract\DINOForge.Tests.Contract.csproj	xunit.runner.visualstudio	2.*
C:\Users\koosh\Dino\src\Tests\Contract\DINOForge.Tests.Contract.csproj	FluentAssertions	6.*
